Facultad;jornada;modalidad;programa;estrato;Genero;Departamento;origenacademico
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS DE SALUD;1;F;15-BOYACA;15455-MIRAFLORES
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;1;F;15-BOYACA;15757-SOCHA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN ARTES PLASTICAS;3;F;15-BOYACA;15763-SOTAQUIRA
CIENCIAS;Diurna;Presencial;QUIMICA;2;F;15-BOYACA;15599-RAMIRIQUI
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN ELECTRICIDAD;3;M;15-BOYACA;15820-TOPAGA
SECCIONAL DUITAMA;Otra;Otra;ESPECIALIZACION EN PEDAGOGIA DE LOS DERECHOS HUMANOS;;F;15-BOYACA;2-SIN DATOS
INGENIERIA;Diurna;Presencial;INGENIERIA DE TRANSPORTE Y VIAS;1;M;15-BOYACA;15762-SORA
INGENIERIA;Diurna;Presencial;INGENIERIA CIVIL;3;F;15-BOYACA;15001-TUNJA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN IDIOMAS MODERNOS ESPAï¿½ï¿½OL-ING;4;F;15-BOYACA;15001-TUNJA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;1;M;15-BOYACA;15759-SOGAMOSO
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN IDIOMAS MODERNOS ESPAï¿½ï¿½OL-ING;2;F;41-HUILA;41551-PITALITO
INGENIERIA;Otra;Otra;ESPECIALIZACION EN INFRAESTRUCTURA VIAL;;F;15-BOYACA;2-SIN DATOS
CIENCIAS;Diurna;Presencial;QUIMICA;3;F;11-SANTA FE DE BOGOTA D.C;25123-CACHIPAY
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;3;M;15-BOYACA;15646-SAMACA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Diurna;Presencial;ADMINISTRACION DE EMPRESAS;3;F;85-CASANARE;85001-YOPAL
SECCIONAL DUITAMA;Otra;Otra;ESPECIALIZACION EN  PLANIFICACION DEL  TURISMO SOSTENIBLE;;M;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;3;F;25-CUNDINAMARCA;25649-SAN BERNARDO
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;1;M;15-BOYACA;15673-SAN MATEO
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN REGENCIA DE FARMACIA;3;F;73-TOLIMA;73319-GUAMO
